property_id,title,property_type,price,amenities,accommodates,bedrooms,bathrooms,minimum_nights,description,notes,house_rules
69121,"northern beaches, narrabeen, sydney",Apartment,$110.00,"{TV,Wifi,Kitchen,""Free parking on premises"",""Pets allowed"",""Free street parking"",Washer,""Smoke detector"",""Hot water""}",2,1,1.0,21,"Light, bright and breezy one-bedroom unit. One minute's walk to Narrabeen Lagoon, three minutes walk to Narrabeen ocean beach, one of the world's top surfing beaches. Very quiet, visitor parking available. Located on the Northern Beaches, between Palm Beach and Manly.  Swimming, surfing, kayaking, fishing, walking...outdoors lifestyle. Buses to Sydney and Manly - ferry from Manly to Circular Quay (Sydney) takes 30 minutes.",,"please, no smoking inside the unit, two balconies available noise must be kept to a minimum, this is part of a complex"
69956,Cosy Private Close to the City,Apartment,$89.00,"{TV,Internet,Wifi,Kitchen,Washer/Dryer,""Free street parking"",Washer,Dryer,""Smoke detector"",""Hair dryer"",""Self check-in"",Lockbox,""Hot water"",Microwave,""Coffee maker"",Refrigerator,Oven,Stove,""Cleaning before checkout""}",4,1,1.0,2,"This is a complete, self-contained granny flat (unit) with separate entry for your independent visit to Sydney. Advertised as accommodation for 2, there is also a sofa bed in the lounge room if you have 1 or 2 kids in your family. As new, there is a separate dining room and bathroom. Close to Sydney airport, there is plenty of street parking, and it is only 20 - 30 minutes to the city centre by car. Alternatively it is a 5 minute bus ride or a 15 minute walk to a choice of 2 railway stations. Newly renovated granny flat (self contained attached apartment) in quiet neighbourhood. Close to bus, trains (once you are at the station, its only 15 minutes to the city) and the airport so it's easy to get around stunning Sydney. Fully equipped kitchen with fridge/freezer, microwave, toaster, electric kettle and gas oven with grill. Apartment includes dining room for 4, lounge room with TV and CD/DVD player, comfortable separate bedroom, as new bathroom and separate laundry with washer and dryer",,"Guests are asked to *Maintain noise to a reasonable level and, in particular, between 10pm and 8am; *Comply with parking regulations and show consideration to neighbours and other vehicles; *Dispose of garbage and recycling in accordance with the usual practice at the property and in the allocated bins. Guests must not leave excess rubbish in common or public areas; *Notify us of any complaints as soon as is practicable; *Minimise their impact upon the residential amenity of the neighbours and local community *Be responsible for their Visitors"
71866,A Jewel Amongst Greenery,Apartment,$185.00,"{TV,Internet,Wifi,Kitchen,""Free parking on premises"",""Free street parking"",Washer,""Smoke detector"",""First aid kit"",""Safety card"",""Self check-in"",""Building staff""}",4,2,1.0,3,"Spacious, airy, fully furnished apartment in Clovelly/Randwick with lots of greenery around. It's suitable for couple's with children or friends' sharing. Located in a quite street with great views and close to beaches, parks and cafes. Spacious, fully furnished apartment in Clovelly/Randwick with lots of greenery. It's suitable for couple's or friends' sharing. Located in a quite street, Marcel Avenue, with great views, it is conveniently close to parks, beaches, cafes, shops and large shopping centres. It's embedded in the most attractive area close to Bronte, Clovelly and Coogee beaches. Also near different places of interest: City (15 min by bus), Bondi Junction train station (10 min by walk), Bronte Beach (10 min by walk), Clovelly 10 mins. Access to public transports is limitless: beach, city, parks, coffee shops.",,house rules provided prior to arrival
73628,Sunny Room in Art Deco,Unit,$65.00,"{Wifi,Kitchen,""Free street parking"",Washer,""Smoke detector"",""Hot water""}",2,1,1.0,3,"My comfortable apartment, with high ceilings and polished floors, is a quintessential Bondi experience. Featuring a private master bedroom, perfect for one to two guests, it is just minutes from the ocean whilst offering easy access to Sydney's East and the city. I'm a millennial creative, situated in a beautiful, thirties era, brick building in relaxed Bondi Beach. You're invited to take advantage of my spacious (45m/sq) home. My apartment is on the top floor of the building, has polished wood floors throughout, high ceilings, and faces north west catching all-day sun. The apartment is furnished with an eclectic collection of art, furnishings and plants, ensuring you feel right at home throughout your stay. You'll have access to the private master bedroom and the shared living areas of the apartment during your stay. The north facing bedroom features a queen-size bed and 100% flax linen bedding. The large living room features a reclaimed timber lounge and complimentary slung leather a",,"We take pride in our home and know you too will treat it with respect. Please don't smoke inside, and if you use the kitchen equipment, please clean it."
73639,Sydney City Home with Harbour Views,House,"$1,315.00","{TV,Internet,Wifi,""Air conditioning"",""Paid parking off premises"",""Smoke detector"",""First aid kit"",""Safety card"",""Hair dryer"",""Hot water"",""Coffee maker"",Dishwasher,Oven}",2,1,1.0,1,"Come stay with Vinh & Stuart (Awarded one of Australia's top hosts by Airbnb CEO Brian Chesky & key shareholder Ashton Kutcher. We're Sydney's #1 reviewed hosts too).  Find out why we've been positively reviewed 500+ times. Please read our listing first (hint hint) We do not accept reservations from people without a verified profile. And please do not make a reservation request before we have exchanged messages. We're keen to chat 1st and make sure we can offer you what you're looking for Please say hello and message us  *BEFORE* you make your reservation request... It'll help speed things up, and smooth things out... Please read our listing. It will make getting a confirmed reservation so much easier :) See below (hint hint) --  * Private attic room (private, but NO DOOR - please see the photos) * Double size fold out SOFA BED --  G'Day from Vinh & Stuart in Sydney! Thanks for coming to check out our listing :) We have another listing btw... http://www.airbnb.com/rooms/12351 if this o","We've a few reasons for the 6.00pm arrival time / check in / bag drop time... One of them is that we're really flexible with check out times. :) While we do work from home, we don't particularly want to broadcast on the internet if we are away from home. That's why our arrival time is always listed as 6pm. Our ""check in"" / ""arrival time"" / ""bag drop"" is all the same thing. It's not like we're a hotel with a team of porters waiting to take your bags any time of the day or night whether we're at home or not. So, if we haven't agreed some alternate arrangements, then we look forward to welcoming you to our home at 6.00pm. While we may be able to arrange some arrival times / bag drops / check ins earlier, we do need to make those arrangements well in advance. So if the 6.00pm check in time isn't your preference, please talk to us about it *before* you make your reservation. :) :)","We look forward to welcoming you to stay you just as we would our family and friends. ""Farm Gate Rules"" - if a door is open, leave it open, if a door is closed, please leave it closed.  We'd ask that you'd please not eat in your room, or smoke inside the house. We've a kitchen and dining room for meals (and of course, feel free to use the fridge) and a sheltered, undercover area outside that you're more than welcome to use if you smoke. We tend to work from home, meet clients in our home office, and work by phone too. So this means that our home would be better suited to guests wanting to be out sightseeing during the day, rather than spending the days inside. (But why would you want to stay inside all day when there's so much to see and do anyway?) Every experience we've ever had with Airbnb has been a positive one. Whether we've been hosting, or staying as guests, we've met kind & considerate people, had interesting conversations, and made great new acquaintances & friends. We don't "
75702,Beachside haven with gorgeous sea views,Apartment,$121.00,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Washer,""Smoke detector"",""Hair dryer"",""Self check-in"",Lockbox,""Hot water"",Microwave,Refrigerator,Oven,Stove}",3,1,1.0,1,"Spacious self-contained bayside apartment in quiet location with beautiful views over Malabar Bay, Malabar Headland and across to Maroubra. 5 minute walk to the nearest golf course. Ocean pool just a 5 minute walk away & 10 minutes walk to the beach. New headland walk from Malabar beach to Maroubra which has spectacular ocean views. Also 10 minute drive to La Perouse National Park.  Bus to city 5 minutes walk. **PLEASE NOTE: There is min 1 week booking between 19th  May and  6th August 2019*** Fully self contained top storey of house with separate access, own balcony with beautiful bay and ocean views. Swim at Malabar beach or ocean pool which is only a 5 minute walk away. Easy access to many beautiful bays and beaches and interesting walks.  Spacious living area with well equipped kitchen, large bedroom with queen size bed and large built-in wardrobe, modern bathroom, and your own washing machine.  Just a 5 minute walk to the city bus, close to Maroubra and Coogee beaches, and 14 km t","If you are a golfer,  this is golfer heaven with several golf courses close by.  Nearest is 5 minutes walk from the apartment.",We are an easygoing couple and want to make your stay as enjoyable as possible. We expect you would treat the apartment as if you were in your own home. No smoking inside the apartment or loud music after 9pm.  Please switch off air-con or heating when going out. It only takes a few minutes to heat or cool when you return.
79624,Private Room in Quaint House,House,$85.00,"{TV,Internet,Wifi,Kitchen,Dog(s),""Free street parking"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Hair dryer"",""Hot water""}",1,1,1.0,2,"A lovely room in quiet little cottage in a central position. One bus stop to the CBD, and 4 minutes walk to a huge variety of restaurants, bars, pubs and supermarket shopping. Pretty gardens and outdoor living areas. Take breakfast on the terrace. A small quiet room in a  little cottage, one bus stop from the Sydney CBD. Walk to shopping, numerous restaurants, wine bars and pubs. Street parking no problem. Pretty outlook and garden, resident Italian greyhound, modern kitchen and bathroom. Friendly, casual atmosphere. Neutral Bay is a harbourside suburb on the lower North Shore of Sydney, New South Wales, Australia. Neutral Bay is located around 5 kilometres north of the Sydney central business district. The Sydney Central Business District (CBD) is an area of very densely concentrated skyscrapers and other buildings, interspersed by several parks such as Hyde Park, The Domain, Royal Botanic Gardens and Wynyard Park. George Street is the Sydney CBD's main north-south thoroughfare. There",,No smoking
79912,Bronte Tranquil City/Beach Living.,Apartment,$295.00,"{TV,Internet,Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",""Free street parking"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Hair dryer"",""Self check-in"",Lockbox,""Hot water""}",4,2,1.0,14,"Fully furnished 2 bedroom garden apartment in the most beautiful part of Sydney. Close to the beach and the city, this enchanting location has a taste of everything. Truly a great location if you like to be close all amenities. A rare opportunity exists to stay in a fully furnished newly renovated lush garden residence in one of Sydney's most prestigious area's.    Set back from the street in a beautiful garden setting close to beach, shops and  bus stop.  Location and Transport: Your local community parks, cafes, bank, post office, boutique shops, supermarket,  pub and restaurants are less than a 5 minute walk away.  A bus is at your doorstep to transport you to Bronte beach in 5 minutes or the opposite direction to Bondi Junction in 5 minutes, where you can take the train into Sydney CBD in 3 stops. Alternatively take a direct bus to Central Railway station. All buses leave  every 3 minutes to Bondi Junction, and buses leave to Bronte Beach Randwick Ritz, Coogee Beach, Maroubra Beach","Mobile Phones and internet: Mobile phone reception is not great inside the apartment due to the double brick walls and location. To ensure high speed internet penetrates throughout, we have two internet connections installed Natural light: In the winter months ( June July August ) there is a lack of natural light due to the aspect. Summer months ( November through March ) are lighter and brighter, although we do not get full natural light being on ground level.  We are referring to southern hemisphere seasons!! Unfortunately when it rains we lack natural light even in summer.  Fuse box: The fuse box is on the balcony of the upstairs unit in case of power overload. it has happened once so it's handy to know that it is easily rectified. We suggest you don't use too many appliances at one time on the one circuit. The upstairs neighbour is very obliging if access is needed   Beds and Cots: The residence has 2 Queen beds which sleeps 4 adult guests.  We can arrange a portable cot if given a",Noise limitations due to quiet neighborhood. Strictly no parties or guests sleeping over. This is for mature adults or a young family only who are genuinely looking for a quiet comfortable place to stay. Small get togethers on the premises with friends are welcome It would be appreciated if you could water the plants on the deck  during your stay. .
86853,Bondi Beach Break 2 Bedroom Apt,Apartment,$199.00,"{TV,Wifi,Kitchen,""Free street parking"",Washer,Dryer,""Smoke detector"",""Hair dryer"",""Self check-in"",Lockbox,""Window guards"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,Oven,Stove}",4,2,1.0,1,"This Quiet and Fabulous 2 bedroomed apartment is a short stroll to Bondi beach.  This is a Large bright airy apartment  which  has whitewash bamboo floors, beautiful ornate ceilings with overhead fans and all the mod cons including Internet TV; DVD; This Quiet and Fabulous 2 bedroomed apartment is a short stroll to Bondi beach.  This is a Large bright airy apartment  which  has whitewash bamboo floors, beautiful ornate ceilings with overhead fans and all the mod cons including Plasma TV; DVD; fully equipped kitchen and laundry onsite.  we also have wireless internet Unlimited WE OFFER WEEKLY AND MONTHLY RATES ON REQUEST There is a bus stop outside apartment building with a direct bus ride to The Opera House and city Centre.   we are surrounded by restaurants  A supermarket , fruit and veg shop and butcher are a  two minute walk away and lots of cafes and restaurants. Takes 8 minutes to stroll to beach.  Either Bondi beach or Tamarama Beach Cost per night depends on the season, ranging",Please leave keys on kitchen table when leaving    WE PROVIDE COMPLIMENTARY INTERNET. Please note we do not take responsibility for any internet outage that is out of our control.,No parties allowed  Please respect our neighbours  keep noise to a minimum after 10pm Please be quiet when entering and leaving apartment Not extra guests allowed in apartment.     Please place rubbish in garbage bins in back yard.
87709,Room + own Bathroom in Family Home!,House,$70.00,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Dog(s),Cat(s),Washer,Dryer}",1,1,1.0,21,"<b>Room available in a family home in a lovely safe leafy suburb</b> <b>Your Space</b> Fully furnished bedroom and own bathroom. Room includes single bed , plenty of drawers and hanging space,  bedside  table, mirror, pillow, towels, desk  and  desk lamp. You also get wireless internet in the room, free use of washing machine,. microwave, TV , DVD, etc. House is a large  5 bedroom, 3 bathroom house with lovely  surroundings, BBQ area and  garden.  <b>Location</b> Close to bus or 25 minute walk to  station, cafes, restaurants, supermarkets, banks, and a short drive to many of Sydney’s beautiful Northern Beaches! Long term or short term stays available. The accommodation will suit older travellers, business people  or students  as the home is quiet and provides good very clean accommodation at a reasonable rate. We are very relaxed and easy going.  We have one beautiful cat that lives in and out of the house. We also have an exhuberant, friendly, affectionate and comical Miniature Aussie",,
